92 51.25304 29.396828  20573962651.014866  0.0000 70  62.0164  17.5575
92 38.67433 22.179581  63624.413071  0.0000 67  51.9014  14.6597
92 30.60352 16.181222  58.204650  0.0000 52  44.5133  13.2700
92 26.02105 12.145100  1.272977  0.0000 48  39.1231  11.9159
92 22.29256 8.712017  0.027871  0.0000 50  34.8895  11.1154
92 21.27353 7.489801  0.059156  0.0000 46  33.7215  11.1696
159 35.12897 14.367368  7306.165393  0.9992 74  35.1298  8.1633
159 29.50510 10.833423  13.680281  0.9993 55  29.5058  6.0733
159 25.90936 7.882161  0.773936  0.9976 49  25.9119  5.4306
159 23.76334 5.934734  0.161396  0.9923 42  23.7717  5.2378
159 21.95914 4.227280  0.020780  0.9766 38  21.9849  5.1584
159 21.45101 3.658541  0.069592  0.9640 44  21.4908  5.2331
303 30.37787 33.180964  91.893381  0.0000 77  71.6453  23.6692
303 26.93249 23.650546  1.284182  0.0000 56  55.9580  17.5123
303 24.84461 16.326349  0.291883  0.0000 45  46.8991  15.7775
303 23.15554 11.753606  0.093361  0.0000 43  40.4851  13.9363
303 21.97929 8.056507  0.021146  0.0000 42  35.8884  13.0367
303 21.81037 6.902078  0.096774  0.0000 40  34.7337  13.0364
328 43.80928 35.518353  21667784.899253  0.0000 66  72.0971  21.5464
328 35.64578 25.301729  3910.240109  0.0000 52  56.1519  15.8179
328 29.56218 17.435116  22.307727  0.0000 52  46.7899  14.3225
328 25.73107 12.595408  0.975197  0.0000 50  40.4033  12.7755
328 22.46681 8.624910  0.032578  0.0000 40  35.7942  12.1370
328 21.41305 7.400592  0.067213  0.0000 45  34.6340  12.2011
374 49.49558 36.708356  4076913298.767914  0.0000 82  75.3099  23.4608
374 37.41164 26.186863  19886.085788  0.0000 66  58.7617  17.4341
374 29.57496 18.034118  22.571776  0.0000 47  48.8725  15.6975
374 25.21639 12.995121  0.608014  0.0000 47  42.0017  13.8657
374 21.65608 8.880319  0.016055  0.0000 43  36.9908  12.9696
374 20.87406 7.646815  0.041105  0.0000 49  35.7283  12.9407
538 49.58295 32.700857  4418570607.045152  0.0436 67  52.9833  5.5600
538 39.15085 23.349553  98680.463016  0.8113 64  39.3780  1.3060
538 30.58611 16.087923  57.278983  0.9582 52  30.6325  -0.1778
538 24.34760 11.580586  0.274567  0.9926 45  24.3557  -1.9473
538 19.87923 7.918133  0.005815  0.9967 40  19.8828  -2.7578
538 19.19509 6.792704  0.010027  0.9955 46  19.2000  -2.3151
549 39.53981 31.531362  424644.327604  0.0000 74  64.2545  18.2131
549 32.94512 22.503100  325.046378  0.0000 54  50.8114  13.7983
549 28.29689 15.492150  6.957423  0.0000 49  42.3549  12.3527
549 25.20557 11.174019  0.602008  0.0000 48  36.7473  11.0633
549 22.57592 7.639822  0.035945  0.0001 47  32.6749  10.5250
549 21.67812 6.576473  0.085707  0.0001 47  31.6610  10.5745
727 42.31935 30.720925  5493418.452202  0.0000 70  64.4492  19.3821
727 33.96516 21.882146  831.682062  0.0000 61  51.0141  14.7858
727 28.25379 15.093033  6.686701  0.0000 49  42.7308  13.2916
727 24.76048 10.891465  0.400408  0.0000 49  37.1959  11.9583
727 21.84509 7.416705  0.018834  0.0000 46  33.2477  11.4848
727 20.95003 6.392526  0.044041  0.0000 42  32.2613  11.5226
752 41.30165 32.206182  2151597.312786  0.0000 76  70.3490  23.4983
752 32.51528 22.976560  218.782833  0.0000 59  55.0846  17.4635
752 26.48456 15.823803  1.312794  0.0000 48  46.1990  15.7307
